               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078866,            0.050028,             0.01727,             0.82395,             0.35301,             0.36312,             0.19177,            0.043443,            0.034092,            0.012206,            0.070231,           0.0033077,           0.0033077
                   1,             0.05711,            0.039981,            0.012137,             0.84111,             0.38972,             0.40886,             0.22037,            0.051873,            0.031836,            0.010479,            0.040171,           0.0065813,           0.0065813
                   2,            0.048551,            0.035561,           0.0098614,             0.88003,             0.39842,             0.49372,             0.29914,            0.043274,             0.03219,            0.009114,            0.010051,           0.0097948,           0.0097948
                   3,            0.040704,            0.032592,           0.0074737,             0.84853,             0.57432,             0.62464,             0.41551,            0.032622,            0.030968,           0.0062612,             0.00973,             0.00973,             0.00973
                   4,            0.036346,             0.03074,           0.0054839,              0.8219,             0.57353,             0.63091,             0.41597,             0.03152,            0.032605,           0.0052644,             0.00973,             0.00973,             0.00973
                   5,            0.034045,            0.029699,           0.0047004,             0.86841,              0.6161,             0.64801,              0.4213,            0.033779,            0.029894,           0.0052518,             0.00964,             0.00964,             0.00964
                   6,            0.032542,            0.028886,           0.0043169,             0.87533,             0.61416,             0.66188,             0.48102,            0.028473,            0.029207,           0.0045718,             0.00955,             0.00955,             0.00955
                   7,            0.031231,            0.028168,           0.0040307,             0.86741,             0.60368,             0.65124,             0.47029,            0.027723,            0.029505,           0.0051518,             0.00946,             0.00946,             0.00946
                   8,            0.030493,            0.028136,           0.0037905,             0.88139,             0.58949,             0.65825,             0.46539,            0.029484,            0.029839,           0.0045269,             0.00937,             0.00937,             0.00937
                   9,              0.0297,              0.0277,           0.0036383,             0.87384,             0.62703,             0.66504,             0.46206,             0.02998,            0.029873,           0.0041288,             0.00928,             0.00928,             0.00928
                  10,            0.029459,             0.02715,           0.0035115,             0.88657,             0.62414,             0.68888,             0.51713,            0.026133,            0.032382,           0.0048181,             0.00919,             0.00919,             0.00919
                  11,            0.028876,            0.026872,           0.0034335,             0.89399,             0.58522,             0.68008,             0.48625,            0.027957,            0.029426,           0.0044494,              0.0091,              0.0091,              0.0091
